1704253560000,45209.99000000,45223.32000000,45206.84000000,45206.85000000,18.68191000,1704253619999,844777.73294420,675,3.00306000,135782.60067310,0
1704253620000,45206.84000000,45211.75000000,45206.84000000,45208.94000000,5.32661000,1704253679999,240805.37111020,358,3.20145000,144729.73274340,0
1704253680000,45208.95000000,45208.95000000,45208.94000000,45208.94000000,3.91653000,1704253739999,177062.17473960,291,0.49614000,22429.96845300,0
1704253740000,45208.94000000,45226.79000000,45208.94000000,45226.79000000,14.88676000,1704253799999,673085.74628310,575,12.05026000,544849.30576490,0
1704253800000,45226.78000000,45238.00000000,45191.76000000,45191.77000000,22.65627000,1704253859999,1024428.30549910,953,3.05196000,138039.78677300,0
1704253860000,45191.77000000,45191.77000000,45188.15000000,45188.15000000,7.44921000,1704253919999,336631.02496270,389,0.72986000,32981.81938700,0
1704253920000,45188.15000000,45205.81000000,45188.15000000,45205.81000000,20.58493000,1704253979999,930304.53790030,629,13.31724000,601841.82213110,0
1704253980000,45205.80000000,45207.42000000,45205.80000000,45207.41000000,4.91309000,1704254039999,222106.80664330,281,2.72752000,123302.88573940,0
1704254040000,45207.41000000,45221.28000000,45207.41000000,45221.28000000,7.63254000,1704254099999,345116.21988000,382,5.11222000,231158.73280040,0
1704254100000,45221.27000000,45229.18000000,45221.22000000,45229.17000000,4.99600000,1704254159999,225941.15791090,435,3.40440000,153961.19087310,0
1704254160000,45229.17000000,45232.10000000,45229.17000000,45232.10000000,8.00657000,1704254219999,362151.93846450,309,2.23781000,101219.14188070,0
1704254220000,45232.10000000,45236.68000000,45232.09000000,45236.68000000,9.97448000,1704254279999,451170.14624470,322,3.02409000,136789.43049080,0
1704254280000,45236.67000000,45246.96000000,45236.67000000,45246.96000000,6.59436000,1704254339999,298337.98966340,374,4.97780000,225204.61470780,0
1704254340000,45246.95000000,45262.79000000,45246.95000000,45262.69000000,14.22017000,1704254399999,643531.47675910,617,11.38599000,515270.34449510,0
1704254400000,45262.70000000,45268.91000000,45248.24000000,45248.25000000,26.01014000,1704254459999,1177193.79667800,915,6.60078000,298734.56852650,0
1704254460000,45248.25000000,45248.25000000,45241.33000000,45241.33000000,12.36771000,1704254519999,559584.32998210,677,7.52773000,340595.87625830,0
1704254520000,45241.34000000,45241.34000000,45240.96000000,45241.34000000,18.51691000,1704254579999,837728.60887090,525,6.89658000,312009.80472940,0
1704254580000,45241.34000000,45241.34000000,45241.33000000,45241.34000000,7.71242000,1704254639999,348920.20407600,341,6.57574000,297495.28909160,0
1704254640000,45241.33000000,45241.34000000,45231.12000000,45231.13000000,8.68546000,1704254699999,392907.81902130,564,1.13893000,51517.87907350,0
1704254700000,45231.12000000,45231.13000000,45218.68000000,45218.68000000,8.01989000,1704254759999,362703.21010820,453,0.85997000,38893.09489490,0
1704254760000,45218.68000000,45218.69000000,45216.69000000,45216.70000000,12.70452000,1704254819999,574467.42399620,400,7.53890000,340885.59999950,0
1704254820000,45216.70000000,45227.73000000,45213.10000000,45223.91000000,23.49668000,1704254879999,1062597.58670280,724,6.84964000,309726.57152740,0
1704254880000,45223.91000000,45223.92000000,45211.10000000,45211.11000000,37.00983000,1704254939999,1673546.29766380,499,0.80442000,36376.18625860,0
1704254940000,45211.10000000,45211.11000000,45187.22000000,45192.69000000,30.15769000,1704254999999,1362991.57494130,691,10.40867000,470375.09059320,0
1704255000000,45192.69000000,45192.69000000,45187.89000000,45187.90000000,5.85231000,1704255059999,264465.71885580,419,1.60122000,72356.49133050,0
1704255060000,45187.89000000,45227.23000000,45187.89000000,45227.23000000,15.35250000,1704255119999,693939.86043090,585,13.98426000,632104.18750230,0
1704255120000,45227.22000000,45228.92000000,45205.64000000,45205.64000000,32.15525000,1704255179999,1453974.80545760,619,5.28247000,238873.62079980,0
